trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,Trial No.,Level List,Puase Time,Staircase,Scene No,causal?,A.started,A.stopped,B.started,B.stopped,resp.keys,resp.rt,resp.started,resp.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,22.937364699988393,None,1,0,0,1,1,yes,40.28896750000422,42.503910300001735,40.28896750000422,42.503910300001735,y,10.329613200010499,42.503910300001735,None,2.0053648200118914,2.3053648200118912,42.503910300001735,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
1,0,1,0,,,1,0.4,0.4,0,1,yes,52.96243700000923,55.17621400000644,52.96243700000923,55.17621400000644,y,1.478741800005082,55.17621400000644,None,2.0059104200045113,2.305910420004511,55.17621400000644,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
2,0,2,0,,,2,0.07500000000000001,0.07500000000000001,1,1,no,56.758201299991924,58.97452980000526,56.758201299991924,58.97452980000526,n,2.575759900006233,58.97452980000526,None,1.9993867200100794,2.2993867200100793,58.97452980000526,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
3,0,3,0,,,3,0.05833333333333335,0.05833333333333335,1,1,no,61.66165409999667,63.88603460000013,61.66165409999667,63.88603460000013,n,48.088037000008626,63.88603460000013,None,2.0103243199991994,2.310324319999199,63.88603460000013,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
4,0,4,0,,,4,0.041666666666666685,0.041666666666666685,1,1,yes,112.07893660000991,114.29400269998587,112.07893660000991,114.29400269998587,y,976.2468371000141,114.29400269998587,None,2.0011233200202696,2.3011233200202694,114.29400269998587,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
5,0,5,0,,,5,0.07916666666666669,0.07916666666666669,1,1,yes,1090.640815699997,1092.8722458999837,1090.640815699997,1092.8722458999837,y,6.032137300004251,1092.8722458999837,None,2.015412020002259,2.3154120200022588,1092.8722458999837,None,,001,2021_Oct_01_1313,Causality,2021.2.3,60.04664423889951,
